Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
1,Marcus Keene,CMU,32,36.8,4.5,4.9,0.8,0.0,0.0,2017
2,Chris Clemons,CAM,36,33.5,4.6,2.6,1.9,0.5,0.5,2017
3,Mike Daum,SDSU,35,32.7,8.1,1.4,0.6,0.4,0.4,2017
4,Dallas Moore,UNF,34,35.1,3.1,4.0,1.1,0.1,0.1,2017
5,Randy Onwuasor,SUU,33,35.0,6.6,3.2,1.5,0.4,0.4,2017
6,Markelle Fultz,UW,25,35.7,5.7,5.9,1.6,1.2,1.2,2017
7,Tyler Hall,MSU,32,34.6,5.4,2.8,1.1,0.3,0.3,2017
8,Alec Peters,VAL,29,35.1,10.1,2.2,0.8,0.4,0.4,2017
9,Cameron Morse,YSU,31,36.2,3.2,3.1,1.0,0.1,0.1,2017
10,Rashawn Thomas,TAMU-CC,34,33.7,9.0,2.7,1.6,2.0,2.0,2017
11,Keon Johnson,WIN,32,35.1,4.0,2.6,0.7,0.0,0.0,2017
12,Jack Gibbs,DAV,31,36.2,4.0,4.1,1.3,0.0,0.0,2017
13,Jonathan Stark,MSU,33,36.6,3.9,5.2,1.3,0.0,0.0,2017
14,T.J. Williams,NU,30,38.2,4.7,5.3,1.0,0.1,0.1,2017
15,Sindarius Thornwell,USC,31,34.0,7.1,2.8,2.1,1.0,1.0,2017
16,"Lamond Murray, Jr.",PU,31,34.2,5.7,1.3,1.1,0.4,0.4,2017
17,Braylon Rayson,CMU,32,37.2,4.4,3.2,1.2,0.0,0.0,2017
18,Dewayne Russell,GCU,28,38.3,3.8,5.4,1.5,0.1,0.1,2017
19,Kendrick Ray,KENN,31,33.8,3.7,3.1,0.7,0.3,0.3,2017
20,Jeremy Senglin,WSU,34,35.3,3.9,2.8,1.1,0.0,0.0,2017
21,Tiwian Kendley,MSU,23,32.3,5.4,1.2,1.2,0.4,0.4,2017
22,Victor Sanders,U of I,32,32.9,3.3,3.3,1.7,0.3,0.3,2017
23,Frank Mason,KU,36,36.1,4.2,5.2,1.3,0.1,0.1,2017
24,Jaylon Brown,UE,33,36.8,4.4,3.1,1.0,0.1,0.1,2017
25,Jaylen Adams,STBN,30,37.4,3.7,6.5,2.1,0.2,0.2,2017
26,Bogdan Bliznyuk,EWU,34,36.8,6.5,4.0,1.1,0.2,0.2,2017
27,Rob Gray,U of H,31,32.3,3.7,2.9,1.2,0.2,0.2,2017
28,Peyton Aldridge,DAV,32,36.9,8.2,2.2,0.9,0.9,0.9,2017
29,Gian Clavell,CSU,27,36.6,6.3,1.7,2.0,0.7,0.7,2017
30,Tim Kempton,LU,32,31.7,10.4,1.1,0.9,1.3,1.3,2017
31,Garrison Mathews,LIP,32,31.2,5.6,2.3,0.8,0.2,0.2,2017
32,Jake Wiley,EWU,34,34.3,9.1,2.4,0.8,2.8,2.8,2017
33,Josh Robinson,APSU,29,36.6,3.0,3.5,1.0,0.1,0.1,2017
34,Eric Mika,BYU,34,28.6,9.2,1.6,0.6,1.9,1.9,2017
35,Nisre Zouzoua,BU,31,35.5,4.2,1.5,1.5,0.4,0.4,2017
36,Evan Bradds,BEL,29,31.9,8.4,2.3,0.4,0.2,0.2,2017
37,Garret Covington,WIU,28,34.8,3.6,3.2,0.8,0.1,0.1,2017
38,Peter Jok,UI,32,30.7,5.5,2.6,1.1,0.1,0.1,2017
39,Jalen Ross,UHA,29,34.6,3.4,2.1,1.3,0.0,0.0,2017
40,Malik Monk,UK,38,32.1,2.5,2.3,0.9,0.5,0.5,2017
41,Jon Elmore,MU,35,35.1,4.3,5.9,1.1,0.2,0.2,2017
42,Marcus Marshall,UNR,35,35.4,2.5,3.7,0.9,0.1,0.1,2017
43,Justin Robinson,MU,34,33.2,3.8,4.8,1.4,0.1,0.1,2017
44,Mike Young,PITT,33,33.2,6.8,2.7,0.6,0.8,0.8,2017
45,Ike Smith,GSU,33,30.5,5.2,1.7,1.4,0.6,0.6,2017
46,Q.J. Peterson,VMI,30,31.7,6.5,2.4,1.6,0.1,0.1,2017
47,Jonathan Williams,U of T,32,34.3,3.0,3.2,0.8,0.1,0.1,2017
48,Jon Davis,CHAR,30,35.2,3.4,4.2,1.1,0.3,0.3,2017
49,Jacolby Mobley,UTM,29,35.3,2.9,2.1,1.0,0.1,0.1,2017
50,Luke Kennard,DUKE,37,35.5,5.1,2.5,0.8,0.4,0.4,2017
51,Tyler Nelson,FU,31,36.1,3.2,3.6,1.1,0.1,0.1,2017
52,Jordan Howard,UCA,32,34.3,3.6,2.9,1.1,0.1,0.1,2017
53,Jordan Davis,UNC,29,33.7,4.8,5.6,1.2,0.5,0.5,2017
54,Jonathan Wade,NSU,34,34.9,6.8,1.9,0.6,0.1,0.1,2017
55,Patrick Cole,NCCU,33,35.3,7.0,5.6,0.9,0.2,0.2,2017
56,Erik Thomas,UNO,32,32.6,7.8,2.3,1.5,0.3,0.3,2017
57,Quinton Hooker,UND,32,36.1,4.6,3.6,1.8,0.2,0.2,2017
58,Thomas Wilder,WMY,32,31.7,4.3,3.8,1.3,0.4,0.4,2017
59,Daniel Dixon,W&M,30,29.5,4.7,2.5,0.7,0.3,0.3,2017
60,Dedric Lawson,UM,32,34.5,9.9,3.3,1.3,2.1,2.1,2017
61,Jawun Evans,OSU,32,29.2,3.4,6.4,1.8,0.1,0.1,2017
62,John Collins,WF,33,26.6,9.8,0.5,0.6,1.6,1.6,2017
63,T.J. Cromer,ETSU,35,31.7,2.8,3.2,1.0,0.4,0.4,2017
64,Semi Ojeleye,SMU,35,34.1,6.9,1.5,0.4,0.4,0.4,2017
65,Marcus Evans,RU,35,31.7,3.3,3.7,1.1,0.1,0.1,2017
66,Mark Alstork,WRST,32,30.2,4.7,3.5,0.8,0.6,0.6,2017
67,Jimmy Hall,KSU,36,32.6,10.6,2.6,0.9,1.4,1.4,2017
68,Quincy McKnight,SHU,32,32.5,4.9,3.0,1.6,0.2,0.2,2017
69,Jairus Lyles,UMBC,32,34.6,6.6,2.6,1.7,0.0,0.0,2017
70,Nick Dixon,UTRGV,32,27.4,5.1,3.4,1.9,0.1,0.1,2017
71,J.J. Frazier,UGA,34,34.6,3.8,4.1,1.9,0.1,0.1,2017
72,Fred Sims,CSU,31,34.5,4.6,1.5,1.0,0.3,0.3,2017
73,Elijah Brown,UNM,31,32.3,5.2,3.1,1.3,0.1,0.1,2017
74,Josh Hart,VILL,36,33.1,6.4,2.9,1.6,0.3,0.3,2017
75,Jerome Robinson,BC,32,34.0,3.9,3.4,1.7,0.4,0.4,2017
76,Matt Mooney,USD,34,31.1,4.5,2.1,2.2,0.1,0.1,2017
77,Torian Graham,ASU,33,34.7,4.2,1.2,0.9,0.3,0.3,2017
78,Fletcher Magee,WC,33,33.3,3.3,1.8,0.7,0.1,0.1,2017
79,Nick Mayo,EKU,31,35.2,6.5,2.8,0.9,1.3,1.3,2017
80,Matt Mobley,STBN,32,38.3,5.8,2.6,1.6,0.3,0.3,2017
81,T.J. Cline,RICH,35,32.6,7.8,5.6,0.9,0.2,0.2,2017
82,Brandon Goodwin,FGC,34,31.6,4.5,4.1,1.2,0.1,0.1,2017
83,Trevon Bluiett,XAV,36,35.1,5.7,2.1,0.9,0.1,0.1,2017
84,Andrew White,SU,34,37.2,4.6,1.1,1.6,0.4,0.4,2017
85,Caleb Swanigan,PU,35,32.5,12.5,3.0,0.4,0.8,0.8,2017
86,Jahad Thomas,UML,31,33.9,9.0,4.6,1.6,0.3,0.3,2017
87,Tyler Cavanaugh,GW,35,32.2,8.4,2.0,0.5,0.4,0.4,2017
88,Justin Jackson,UNC,40,32.0,4.7,2.8,0.8,0.2,0.2,2017
89,Donte McGill,FIU,27,33.8,3.6,1.1,1.4,0.1,0.1,2017
90,Marcus Foster,CU,35,30.9,2.9,2.4,0.6,0.1,0.1,2017
91,Yante Maten,UGA,29,29.0,6.8,1.5,0.7,1.5,1.5,2017
92,Egor Koulechov,RU,35,34.0,8.9,2.1,0.8,0.3,0.3,2017
93,Jamel Artis,PITT,32,34.3,4.9,3.3,0.4,0.3,0.3,2017
