Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
1,Markus Howard,MU,29,33.2,3.5,3.3,0.9,0.0,0.0,2020
2,Jhivvan Jackson,UTSA,32,34.5,5.6,2.4,1.4,0.2,0.2,2020
3,Jermaine Marrow,HU,28,37.8,3.2,6.5,1.2,0.1,0.1,2020
4,Antoine Davis,UDM,30,36.8,3.1,4.5,1.7,0.1,0.1,2020
5,Luka Garza,UI,31,32.0,9.8,1.2,0.8,1.8,1.8,2020
6,Mike Smith,COM,30,37.8,4.1,4.5,1.5,0.0,0.0,2020
7,Jerrick Harding,WSU,29,33.9,2.9,2.2,1.0,0.1,0.1,2020
8,Mason Jones,U of A,31,33.8,5.5,3.4,1.6,0.2,0.2,2020
9,Ben Stanley,HU,34,35.1,7.2,0.7,0.4,1.5,1.5,2020
10,Jordan Roland,NU,33,36.2,3.3,1.8,1.5,0.2,0.2,2020
11,Grant Riller,C of C,31,33.5,5.1,3.9,1.6,0.3,0.3,2020
12,Jordan Ford,SMC,34,38.0,3.0,2.3,1.4,0.0,0.0,2020
13,Terry Taylor,APSU,33,36.6,11.0,1.4,1.3,1.3,1.3,2020
14,Jalen Harris,UNR,30,33.0,6.4,3.9,1.1,0.1,0.1,2020
15,Tre'von Allen,U of I,30,33.7,4.9,1.7,1.7,0.1,0.1,2020
16,Marcus Burk,IUPUI,32,34.8,3.4,1.9,1.2,0.2,0.2,2020
17,Myles Powell,SHU,28,31.6,4.3,2.9,1.2,0.2,0.2,2020
18,Nate Darling,UD,32,38.3,3.9,2.8,0.8,0.2,0.2,2020
19,Nathan Knight,W&M,32,29.6,10.5,1.8,0.8,1.5,1.5,2020
20,"Terrell Brown, Jr.",SEA,29,36.0,6.2,4.9,1.6,0.4,0.4,2020
21,Ryan Daly,SJU,30,34.6,6.9,4.3,1.2,0.4,0.4,2020
22,Colbey Ross,PU,32,37.7,4.7,7.2,1.1,0.2,0.2,2020
23,Payton Pritchard,UO,31,36.5,4.3,5.5,1.5,0.0,0.0,2020
24,Eugene German,NIU,31,32.7,4.1,2.7,1.0,0.2,0.2,2020
25,Quintin Dove,UTM,29,33.8,7.9,1.0,0.4,0.3,0.3,2020
26,Daniel Oturu,U of M,31,34.0,11.3,1.1,0.5,2.5,2.5,2020
27,Obi Toppin,DAY,31,31.6,7.5,2.2,1.0,1.2,1.2,2020
28,Carlik Jones,RU,32,33.1,5.1,5.5,1.4,0.2,0.2,2020
29,Andrew Kostecka,L-MD,29,31.5,5.2,2.6,1.9,0.6,0.6,2020
30,Marreon Jackson,U of T,32,35.3,4.2,5.4,1.5,0.0,0.0,2020
