Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
1,Trae Young,OU,32,35.4,3.9,8.7,1.7,0.2,0.2,2018
2,Kendrick Nunn,OU,30,37.9,4.7,3.8,1.5,0.4,0.4,2018
3,Jordan Howard,UCA,35,36.0,3.6,2.7,1.0,0.0,0.0,2018
4,Chris Clemons,CAM,31,34.0,4.6,3.1,1.6,0.3,0.3,2018
5,Justin Wright-Foreman,HOF,31,37.8,3.3,3.2,0.8,0.2,0.2,2018
6,Mike Daum,SDSU,35,31.1,10.3,1.3,0.5,0.7,0.7,2018
7,R.J. Cole,HU,33,37.9,3.9,6.0,1.7,0.0,0.0,2018
8,Demontrae Jefferson,TSU,27,37.6,3.1,4.6,1.3,0.0,0.0,2018
9,Jon Elmore,MU,36,38.3,5.8,6.7,1.6,0.4,0.4,2018
10,Bryson Scott,IPFW,33,31.1,4.5,2.6,2.0,0.2,0.2,2018
11,Andre Spight,UNC,38,33.8,3.9,3.7,1.2,0.3,0.3,2018
12,Matt Morgan,COR,28,34.6,4.6,3.2,0.8,0.3,0.3,2018
13,Tyler Nelson,FU,33,36.5,4.2,3.3,1.4,0.1,0.1,2018
14,Fletcher Magee,WC,34,33.6,2.9,1.7,0.9,0.1,0.1,2018
15,Jerrick Harding,WSU,31,32.9,3.4,1.7,1.1,0.2,0.2,2018
16,Junior Robinson,MSMU,32,36.3,2.9,4.8,1.2,0.0,0.0,2018
17,Garrison Mathews,LIP,33,30.4,5.5,1.8,1.0,0.3,0.3,2018
18,Shamorie Ponds,STJ,30,37.0,5.0,4.7,2.3,0.1,0.1,2018
19,Jonathan Stark,MSU,32,36.4,2.7,3.9,1.3,0.2,0.2,2018
20,Ryan Taylor,UE,25,35.2,3.8,1.1,0.8,0.2,0.2,2018
21,Peyton Aldridge,DAV,33,37.7,7.6,2.5,0.4,0.6,0.6,2018
22,Kelan Martin,BU,35,35.7,6.3,2.0,0.7,0.5,0.5,2018
23,D'Marcus Simonds,GSU,35,34.9,5.7,4.4,1.7,0.7,0.7,2018
