Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
1,Doug McDermott,CU,35,33.7,7.0,1.6,0.2,0.1,0.1,2014
2,Antoine Mason,NU,33,37.6,3.6,1.5,1.2,0.2,0.2,2014
3,T.J. Warren,NCST,35,35.4,7.1,1.1,1.8,0.6,0.6,2014
4,Billy Baron,CAN,34,39.0,4.9,5.3,1.6,0.0,0.0,2014
5,Patrick Miller,TSU,30,37.7,4.5,4.1,1.6,0.2,0.2,2014
6,Tyler Haws,BYU,33,34.6,3.8,1.5,1.0,0.3,0.3,2014
7,D.J. Balentine,UE,33,37.9,2.7,4.2,0.6,0.1,0.1,2014
8,Tyler Harvey,EWU,31,37.4,4.2,2.7,1.1,0.3,0.3,2014
9,Bryce Cotton,PROV,35,39.9,3.5,5.8,1.0,0.1,0.1,2014
10,Aaric Murray,TSU,34,32.0,7.5,1.2,0.9,2.5,2.5,2014
11,Kendrick Perry,YSU,32,36.5,4.1,4.4,2.4,0.3,0.3,2014
12,Shawn Glover,ORU,33,34.9,5.8,1.5,0.8,1.6,1.6,2014
13,James Daniel,HU,28,31.8,2.5,1.6,1.3,0.0,0.0,2014
14,Jeremy Ingram,NCCU,34,34.4,3.8,1.2,1.6,0.6,0.6,2014
15,Roberto Nelson,OSU,32,32.9,3.4,3.6,1.0,0.0,0.0,2014
16,Travis Bader,OU,33,37.6,2.8,1.4,0.9,0.1,0.1,2014
17,Sean Kilpatrick,UC,34,33.8,4.3,2.5,1.4,0.0,0.0,2014
18,Alan Williams,UCSB,29,30.1,11.2,1.1,1.1,2.3,2.3,2014
19,Cameron Bairstow,UNM,34,32.9,7.4,1.6,0.6,1.5,1.5,2014
20,Denzel Livingston,UIW,27,32.5,6.4,3.7,2.5,1.4,1.4,2014
21,Keifer Sykes,UWGB,30,34.3,4.4,4.8,1.2,0.0,0.0,2014
22,Reger Dowell,UTA,30,30.9,2.5,2.2,0.7,0.1,0.1,2014
23,Andrew Rowsey,UNCA,32,36.1,3.7,2.9,1.3,0.1,0.1,2014
24,Jordan Downing,PC,32,37.2,4.5,1.9,1.0,0.4,0.4,2014
25,Deonte Burton,UNR,32,38.7,4.2,4.4,1.5,0.5,0.5,2014
26,Stephen Madison,U of I,34,34.5,7.6,2.4,1.0,0.5,0.5,2014
27,D.J. Covington,VMI,35,29.7,9.3,0.8,1.0,3.0,3.0,2014
28,Jabari Brown,MU,35,37.1,4.4,1.9,0.6,0.1,0.1,2014
29,Zeke Upshaw,HOF,33,36.5,4.2,1.8,0.8,0.2,0.2,2014
30,Karvel Anderson,RMU,36,30.6,3.3,1.4,1.3,0.2,0.2,2014
31,Devon Saddler,UD,28,37.0,4.2,3.6,0.9,0.2,0.2,2014
32,Isiah Umipig,SEA,30,33.1,2.7,3.6,1.1,0.0,0.0,2014
33,John Brown,HP,31,31.8,7.7,1.9,1.5,1.6,1.6,2014
34,Jelani Hewitt,GSU,34,33.9,4.4,3.1,2.2,0.1,0.1,2014
35,Davon Usher,UD,35,36.6,6.1,1.8,1.8,0.4,0.4,2014
36,Jalan West,NSU,31,32.9,4.0,6.4,2.5,0.3,0.3,2014
37,Tyler Stone,SEMO,30,33.5,9.5,1.9,1.0,1.6,1.6,2014
38,Davion Berry,WSU,31,33.2,4.2,3.9,1.0,0.2,0.2,2014
39,Elfrid Payton,LA,35,35.9,6.0,5.9,2.3,0.6,0.6,2014
40,Troy Huff,UND,34,29.2,6.8,1.1,2.3,0.3,0.3,2014
41,Jabari Parker,DUKE,35,30.7,8.7,1.2,1.1,1.2,1.2,2014
42,"Sidney Sanders, Jr.",FDU,31,33.6,3.8,5.8,2.2,0.0,0.0,2014
43,David Brown,WMY,33,34.1,3.5,1.8,1.4,0.2,0.2,2014
44,Stephen Croone,FU,30,33.2,4.4,3.7,1.7,0.3,0.3,2014
45,Chris Denson,AU,30,32.0,4.3,2.4,1.0,0.1,0.1,2014
46,De'Mon Brooks,DAV,27,26.8,7.1,1.4,0.7,0.8,0.8,2014
47,Marshall Henderson,UM,30,31.1,1.9,2.0,1.5,0.1,0.1,2014
48,Jarekious Bradley,SEMO,32,31.3,6.3,1.6,1.2,0.9,0.9,2014
49,Q.J. Peterson,VMI,35,32.9,5.6,2.1,1.7,0.3,0.3,2014
50,Justin Black,MSU,31,34.0,5.1,2.8,1.8,0.1,0.1,2014
51,Pablo Bertone,FAU,30,33.8,3.9,2.1,1.3,0.1,0.1,2014
52,Joe Young,UO,34,31.1,2.8,1.9,1.3,0.0,0.0,2014
53,Rodney Glasgow,VMI,35,36.9,4.0,5.9,1.3,0.0,0.0,2014
54,Kareem Jamar,UM,30,36.2,5.6,4.0,0.9,0.5,0.5,2014
55,George Beamon,MAN,30,30.9,6.5,0.8,1.6,0.3,0.3,2014
