Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
1,Chris Clemons,CAM,33,36.6,5.1,2.8,1.5,0.3,0.3,2019
2,Justin Wright-Foreman,HOF,35,37.7,4.0,2.9,0.9,0.2,0.2,2019
3,Antoine Davis,UDM,30,37.4,3.1,3.6,0.9,0.0,0.0,2019
4,Mike Daum,SDSU,33,33.3,11.7,1.8,0.7,1.0,1.0,2019
5,Markus Howard,MU,34,33.5,4.0,3.9,1.1,0.0,0.0,2019
6,Lamine Diane,CSUN,33,35.3,11.2,2.1,1.5,2.2,2.2,2019
7,Ja Morant,MSU,33,36.6,5.7,10.0,1.8,0.8,0.8,2019
8,Jermaine Marrow,HU,35,36.4,4.1,4.9,1.6,0.2,0.2,2019
9,Carsen Edwards,PU,36,35.4,3.6,2.9,1.3,0.3,0.3,2019
10,Nick Mayo,EKU,31,34.8,8.7,2.3,1.2,1.8,1.8,2019
11,Jordan Davis,UNC,32,33.8,4.7,4.7,1.4,0.3,0.3,2019
12,Cameron Young,QU,31,35.9,5.1,1.9,1.1,0.3,0.3,2019
13,Myles Powell,SHU,34,36.0,4.0,2.9,2.0,0.2,0.2,2019
14,Jhivvan Jackson,UTSA,29,30.9,4.1,2.4,1.2,0.1,0.1,2019
15,R.J. Barrett,DUKE,38,35.3,7.6,4.3,0.9,0.4,0.4,2019
16,Zion Williamson,DUKE,33,30.0,8.9,2.1,2.1,1.8,1.8,2019
17,Ty Cockfield,ASU,32,35.0,3.6,3.2,1.1,0.1,0.1,2019
18,Matt Morgan,COR,31,32.3,4.5,3.0,1.4,0.3,0.3,2019
19,Justin James,UW,32,38.2,8.5,4.4,1.5,0.6,0.6,2019
20,Grant Riller,C of C,33,35.5,3.4,4.1,1.2,0.1,0.1,2019
21,Jon Davis,CHAR,29,37.1,4.5,3.7,0.8,0.4,0.4,2019
22,Robert Franks,WSU,27,34.4,7.2,2.6,0.7,0.7,0.7,2019
23,Jaylin Walker,KSU,27,36.0,5.7,2.1,1.3,0.1,0.1,2019
24,Bubba Parham,VMI,32,33.9,3.4,3.5,0.6,0.0,0.0,2019
25,Jerrick Harding,WSU,30,33.9,3.4,1.4,1.6,0.4,0.4,2019
26,R.J. Cole,HU,34,35.6,4.1,6.4,1.9,0.0,0.0,2019
27,Andrew Kostecka,L-MD,32,33.2,4.8,2.4,2.7,0.9,0.9,2019
28,Dylan Windler,BEL,33,33.2,10.8,2.5,1.4,0.6,0.6,2019
29,Yoeli Childs,BYU,32,33.3,9.6,2.1,1.0,1.0,1.0,2019
30,Anthony Lamb,UVM,32,31.6,7.8,2.2,0.9,1.9,1.9,2019
31,Jordan Ford,SMC,34,36.9,2.8,2.5,1.3,0.0,0.0,2019
32,Daishon Smith,ULM,32,34.6,4.5,3.9,2.2,0.1,0.1,2019
33,Nathan Knight,W&M,31,30.6,8.6,3.5,0.4,2.3,2.3,2019
34,Garrison Mathews,LIP,36,30.1,5.5,1.9,0.8,0.2,0.2,2019
35,Sam Merrill,USU,35,35.3,3.9,4.1,1.1,0.3,0.3,2019
36,Martaveous McKnight,UAPB,32,36.8,5.0,2.9,1.5,0.3,0.3,2019
37,Tres Tinkle,OSU,30,36.4,8.1,3.8,1.7,0.5,0.5,2019
38,JaKeenan Gant,LA,31,32.3,8.6,1.3,0.8,2.6,2.6,2019
39,Tyler Hall,MSU,32,33.5,4.7,2.8,1.1,0.3,0.3,2019
40,Terry Taylor,APSU,33,33.1,8.9,1.7,1.1,0.9,0.9,2019
41,Eugene German,NIU,31,32.7,5.2,2.9,1.2,0.2,0.2,2019
42,Rayjon Tucker,UALR,30,36.6,6.7,1.8,1.1,0.4,0.4,2019
43,Jon Elmore,MU,37,35.9,5.1,5.1,1.7,0.5,0.5,2019
44,Fletcher Magee,WC,35,31.4,2.5,1.6,0.7,0.1,0.1,2019
45,Lew Stallworth,CIT,29,33.4,5.3,6.2,1.0,0.0,0.0,2019
46,Keaton Wallace,UTSA,32,34.9,5.0,2.4,1.3,0.7,0.7,2019
47,Max Strus,DEP,35,37.4,5.9,2.2,0.9,0.5,0.5,2019
48,Lamar Stevens,PSU,32,36.9,7.7,2.1,0.7,0.8,0.8,2019
49,Sa'eed Nelson,AU,30,36.5,5.6,5.1,2.4,0.5,0.5,2019
50,Shizz Alston,TEM,33,36.8,2.8,5.0,1.5,0.2,0.2,2019
51,Rui Hachimura,GU,37,30.2,6.5,1.5,0.9,0.7,0.7,2019
52,Shamorie Ponds,STJ,33,35.1,4.1,5.1,2.6,0.3,0.3,2019
53,Jeremiah Martin,UM,36,34.3,4.2,4.4,2.2,0.6,0.6,2019
54,"James Palmer, Jr.",UNL,36,35.1,4.2,3.0,1.4,0.4,0.4,2019
55,"David Jenkins, Jr.",SDSU,32,33.1,3.4,1.5,0.5,0.0,0.0,2019
56,John Konchar,IPFW,33,34.3,8.5,5.4,2.0,0.9,0.9,2019
57,Jahaad Proctor,HP,31,34.6,3.8,3.3,1.3,0.4,0.4,2019
58,Dedric Lawson,KU,36,32.6,10.3,1.7,1.2,1.1,1.1,2019
59,Marcquise Reed,CLEM,31,35.4,5.5,3.0,2.1,0.0,0.0,2019
60,Jarrell Brantley,C of C,33,33.9,8.4,2.4,1.4,0.9,0.9,2019
61,Colbey Ross,PU,34,34.9,2.9,7.0,1.2,0.1,0.1,2019
62,Caleb Martin,UNR,34,34.1,5.1,2.8,1.4,0.8,0.8,2019
63,Terrell Gomez,CSUN,34,37.7,2.1,2.8,1.1,0.0,0.0,2019
64,Charlie Brown,SJU,32,35.6,6.2,1.5,1.1,0.8,0.8,2019
65,Ky Bowman,BC,31,39.4,7.5,4.0,1.4,0.6,0.6,2019
66,Milan Acquaah,CBU,31,32.1,5.0,3.4,1.6,0.1,0.1,2019
67,Tyler Hooker,KENN,31,36.2,4.7,3.0,1.5,0.2,0.2,2019
68,Jailyn Ingram,FAU,10,29.7,8.2,2.0,0.8,1.0,1.0,2019
69,Raiquan Clark,LIU,32,32.3,6.8,2.0,1.2,0.7,0.7,2019
70,Deishuan Booker,LBSU,33,32.1,3.5,4.4,1.3,0.1,0.1,2019
71,Grant Williams,UT,37,31.9,7.5,3.2,1.1,1.5,1.5,2019
72,Isaiah Pineiro,USD,36,34.7,9.4,2.1,1.2,0.5,0.5,2019
73,Cassius Winston,MSU,39,33.5,3.0,7.5,1.0,0.1,0.1,2019
74,Jarron Cumberland,UC,35,32.5,4.4,3.6,1.1,0.4,0.4,2019
75,Marial Shayok,ISU,34,32.9,4.9,2.0,0.9,0.2,0.2,2019
76,Christian Lutete,UML,32,33.9,7.6,1.4,0.7,0.1,0.1,2019
77,Drew McDonald,NKU,34,30.6,9.4,2.8,0.5,0.4,0.4,2019
78,Christian Keeling,CSU,34,32.2,6.9,2.8,1.3,0.7,0.7,2019
79,Camron Justice,IUPUI,33,32.7,3.2,2.9,1.3,0.0,0.0,2019
80,Phil Booth,VILL,36,35.1,3.9,3.8,0.8,0.2,0.2,2019
81,Jarrett Culver,TTU,38,32.5,6.4,3.7,1.5,0.6,0.6,2019
82,Quinndary Weatherspoon,MSU,34,34.0,4.7,2.8,1.7,0.3,0.3,2019
83,Braxton Huggins,CSUF,31,29.8,4.3,1.7,1.1,0.3,0.3,2019
84,D'Marcus Simonds,GSU,34,35.7,5.0,3.6,1.3,1.0,1.0,2019
85,Ronshad Shabazz,ASU,32,32.2,3.3,2.3,0.8,0.1,0.1,2019
86,Xavier Hill-Mais,OU,34,30.6,7.0,2.4,0.6,0.9,0.9,2019
87,Justin Turner,BGSU,34,32.2,3.7,3.1,1.4,0.2,0.2,2019
88,Khalil Ahmad,CSUF,34,31.4,4.0,1.3,1.6,0.2,0.2,2019
89,Bennie Boatwright,USC,31,33.5,6.6,2.5,0.7,0.6,0.6,2019
90,Devin Cannady,PRIN,16,36.8,5.8,1.7,1.6,0.2,0.2,2019
91,Zac Cuthbertson,CCU,34,32.1,8.1,2.4,0.9,0.4,0.4,2019
92,C.J. Massinburg,UB,35,32.3,6.5,3.0,1.2,0.3,0.3,2019
93,Markis McDuffie,WSU,37,33.4,5.0,1.0,1.0,0.2,0.2,2019
94,Tyler Kohl,CCSU,27,34.3,7.0,4.6,1.4,0.0,0.0,2019
95,David Efianayi,GWU,35,33.4,3.7,2.9,1.1,0.7,0.7,2019
96,Jahmal McMurray,SMU,32,32.7,2.3,2.6,0.7,0.1,0.1,2019
97,Zach Jackson,UNO,32,34.2,4.3,1.9,0.8,0.1,0.1,2019
98,Deshon Taylor,CSUF,28,35.6,3.7,5.0,1.4,0.2,0.2,2019
99,Breein Tyree,UM,33,33.8,2.9,2.8,1.0,0.4,0.4,2019
100,C.J. Williams,HU,33,31.1,2.7,0.7,0.7,0.3,0.3,2019
101,Sean Hoehn,SHU,32,31.6,3.3,2.6,1.5,0.1,0.1,2019
102,Antonio Green,MTSU,32,35.3,4.0,1.6,1.0,0.1,0.1,2019
103,Shannon Bogues,SFA,30,36.1,3.0,3.6,1.2,0.3,0.3,2019
104,Sam Sessoms,BU,33,34.3,3.3,3.5,1.1,0.1,0.1,2019
105,T.J. Haws,BYU,32,33.4,3.5,5.1,1.2,0.3,0.3,2019
106,Kevon Harris,SFA,30,34.9,6.5,2.0,1.0,0.5,0.5,2019
107,C.J. Burks,MU,37,33.5,3.9,2.9,1.8,0.2,0.2,2019
108,E.J. Crawford,IC,33,35.6,5.1,1.8,0.7,0.2,0.2,2019
109,A.J. Brodeur,PENN,31,32.5,8.3,3.6,1.0,1.3,1.3,2019
110,Kimbal Mackenzie,BU,33,34.3,2.8,3.0,0.8,0.0,0.0,2019
111,Zach Cooks,NJIT,35,37.3,4.8,2.1,2.5,0.1,0.1,2019
112,Francis Alonso,UNCG,36,28.7,2.3,2.5,1.0,0.2,0.2,2019
113,Jeremy Combs,TSU,38,31.7,9.3,1.5,1.6,0.6,0.6,2019
114,Brian Fobbs,TU,32,32.8,5.9,1.3,0.7,0.2,0.2,2019
115,Sandy Cohen III,UWGB,38,34.1,6.4,4.7,1.9,1.1,1.1,2019
116,Jessie Govan,GU,33,30.3,7.5,1.2,0.8,1.2,1.2,2019
117,"Kyle Allman, Jr.",CSUF,33,35.2,3.0,2.0,0.7,0.4,0.4,2019
118,Matt Rafferty,FU,33,33.4,9.0,4.3,2.5,1.1,1.1,2019
119,Larry Austin,CMU,35,34.0,6.3,6.0,2.2,0.1,0.1,2019
120,Vasa Pusica,NU,27,34.9,3.8,4.1,1.5,0.2,0.2,2019
121,Kris Wilkes,UCLA,33,31.8,4.8,1.7,0.6,0.4,0.4,2019
122,Tyreke Key,ISU,31,34.4,3.5,1.7,1.1,0.0,0.0,2019
123,Ross Cummings,MER,31,33.3,2.9,1.9,0.5,0.1,0.1,2019
124,Tookie Brown,GSU,33,35.2,4.2,4.7,1.4,0.1,0.1,2019
125,Ethan Happ,UW,34,32.0,10.1,4.5,1.1,1.3,1.3,2019
126,"Brian Beard, Jr.",FIU,34,32.0,3.3,5.9,2.9,0.1,0.1,2019
127,Kellan Grady,DAV,30,37.6,4.5,1.9,1.0,0.2,0.2,2019
128,Mo Greenwood,SELU,33,29.8,7.5,0.8,0.9,1.1,1.1,2019
129,Tyree Appleby,CSU,29,30.5,3.8,5.6,1.4,0.3,0.3,2019
130,Jason Burnell,JSU,32,33.8,9.6,3.1,1.1,0.9,0.9,2019
131,Harald Frey,MSU,32,33.0,4.5,5.0,1.2,0.0,0.0,2019
132,Tyus Battle,SU,32,36.3,3.3,2.5,1.2,0.2,0.2,2019
133,Grant Golden,RICH,33,31.4,7.1,3.5,0.5,1.1,1.1,2019
134,Jeremiah Jefferson,NSU,31,34.5,2.9,2.0,1.0,0.2,0.2,2019
135,Miye Oni,YALE,29,31.0,6.3,3.6,0.9,1.3,1.3,2019
136,Marcus Graves,CSUS,31,34.7,4.7,5.4,2.0,0.1,0.1,2019
137,Jordan Caroline,UNR,33,35.5,9.6,1.9,0.6,0.3,0.3,2019
138,Ian DuBose,HBU,30,30.4,5.9,3.4,1.6,0.3,0.3,2019
139,Donovan Fields,POLY,29,33.7,2.5,4.1,1.4,0.3,0.3,2019
140,Corey Davis,U of H,37,33.0,3.3,2.8,1.0,0.1,0.1,2019
141,Jordan Nwora,U of L,34,31.8,7.6,1.3,0.9,0.4,0.4,2019
142,Kamar Baldwin,BU,33,34.2,4.9,3.1,1.5,0.3,0.3,2019
143,Kobe Webster,WIU,31,34.0,4.4,3.1,1.1,0.0,0.0,2019
144,Brandon Clarke,GU,37,28.1,8.6,1.9,1.2,3.1,3.1,2019
145,Daniel Gafford,U of A,32,28.7,8.7,0.7,0.9,2.0,2.0,2019
146,Takal Molson,CAN,32,32.7,5.4,2.0,1.3,0.3,0.3,2019
147,Jon Axel Gudmundsson,DAV,34,36.8,7.3,4.8,1.3,0.1,0.1,2019
