Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
1,Tyler Harvey,EWU,32,36.9,3.6,2.6,1.1,0.1,0.1,2015
2,Zeek Woodley,NSU,32,31.5,5.0,1.1,1.0,0.7,0.7,2015
3,Tyler Haws,BYU,35,32.1,4.5,2.4,0.9,0.3,0.3,2015
4,Denzel Livingston,UIW,29,36.9,5.9,2.9,2.6,1.3,1.3,2015
5,Damion Lee,DREX,27,38.1,6.1,2.3,1.5,0.3,0.3,2015
6,Saah Nimley,CSU,31,35.7,4.1,4.1,0.9,0.0,0.0,2015
7,Amere May,DESU,32,34.2,4.2,2.7,1.0,0.2,0.2,2015
8,Corey Hawkins,UCD,28,33.4,4.9,3.4,1.4,0.2,0.2,2015
9,D.J. Newbill,PSU,34,37.1,4.7,3.1,1.3,0.2,0.2,2015
10,Joe Young,UO,36,36.7,4.4,3.8,1.1,0.0,0.0,2015
11,Chavaughn Lewis,MAR,29,35.7,5.3,2.7,2.3,0.8,0.8,2015
12,Ty Greene,USCU,35,34.0,3.1,2.1,2.1,0.2,0.2,2015
13,Jalen Riley,ETSU,29,27.5,2.3,2.7,1.7,0.1,0.1,2015
14,Cameron Payne,MSU,35,32.2,3.7,6.0,1.9,0.5,0.5,2015
15,A.J. English III,IC,34,37.4,5.1,5.1,1.4,0.5,0.5,2015
16,D.J. Balentine,UE,36,36.6,3.2,3.2,0.8,0.2,0.2,2015
17,Jalan West,NSU,32,34.5,4.4,7.7,2.1,0.3,0.3,2015
18,Marcus Thornton,W&M,33,36.7,2.8,2.9,0.6,0.1,0.1,2015
19,David Laury,IC,34,35.3,9.7,2.8,0.8,1.3,1.3,2015
20,LaDontae Henton,PROV,34,37.0,6.5,0.9,1.4,0.5,0.5,2015
21,R.J. Hunter,GSU,35,37.0,4.7,3.6,2.1,1.0,1.0,2015
22,Chasson Randle,SU,37,36.4,3.3,3.0,1.4,0.1,0.1,2015
23,Olivier Hanlan,BC,32,37.6,4.2,4.2,1.3,0.0,0.0,2015
24,Derrick Marks,BSU,32,31.2,3.7,3.0,1.8,0.4,0.4,2015
25,James Sinclair,WCU,31,38.1,6.0,2.9,2.2,0.5,0.5,2015
26,D'Angelo Russell,OSU,35,33.9,5.7,5.0,1.6,0.3,0.3,2015
27,John Brown,HP,32,31.1,6.0,1.2,1.2,1.0,1.0,2015
28,Andrew Rowsey,UNCA,31,32.6,2.8,2.9,1.4,0.1,0.1,2015
29,Mikh McKinney,CSUS,32,37.0,2.8,4.9,2.4,0.1,0.1,2015
30,Jeffrey Short,NSU,34,34.0,4.2,1.9,0.9,0.4,0.4,2015
31,Brad Waldow,SMC,31,34.5,9.1,2.2,0.5,0.7,0.7,2015
32,Jerome Hill,GWU,34,33.1,10.1,2.2,0.5,0.7,0.7,2015
33,Lawrence Alexander,NDSU,33,38.5,4.5,1.7,0.9,0.2,0.2,2015
34,Frank Kaminsky,UW,39,33.6,8.2,2.6,0.8,1.5,1.5,2015
35,Dyami Starks,BU,31,38.2,3.4,1.5,0.9,0.2,0.2,2015
36,Keifer Sykes,UWGB,33,35.1,4.5,3.9,1.7,0.2,0.2,2015
37,Corey Walden,EKU,32,34.6,4.0,3.8,3.1,0.2,0.2,2015
38,Keon Moore,WIN,32,33.1,5.2,1.8,1.4,0.2,0.2,2015
39,K.T. Harrell,AU,35,33.0,3.0,1.5,0.9,0.1,0.1,2015
40,Maodo Lo,COM,28,34.2,4.4,2.3,1.5,0.6,0.6,2015
41,Craig Bradshaw,BEL,30,31.7,3.8,3.1,1.6,0.4,0.4,2015
42,Zaid Hearst,QU,30,36.9,6.1,2.5,0.5,0.3,0.3,2015
43,Obi Emegano,ORU,34,34.4,4.7,2.2,1.7,0.2,0.2,2015
44,Ryan Harrow,GSU,29,31.8,2.1,3.6,1.4,0.1,0.1,2015
45,Terran Petteway,UNL,31,35.0,4.9,2.8,1.1,0.9,0.9,2015
46,Kay Felder,OU,33,38.5,4.8,7.6,2.0,0.2,0.2,2015
47,Ashton Moore,CIT,30,37.6,3.2,3.6,1.0,0.2,0.2,2015
48,Ladarius Tabb,AAMU,28,33.1,7.8,0.7,1.2,0.1,0.1,2015
49,DeAndre' Bembry,SJU,31,38.6,7.7,3.6,1.9,0.9,0.9,2015
